repository_id,project_type,project_title,primary_class,secondary_class,no_project_files
2,QD_PROJECT,Running with rheumatoid arthritis: A qualitative study of Australian rheumatologists’ perceptions and recommendations,R86,K62,3
2,QDA_PROJECT,Sociocultural context and innovation scale up,B07,K62,3
2,QD_PROJECT,Data from: Ambulatory versus inpatient management of severe nausea and vomiting of pregnancy: a randomized control trial with patient preference arm,R86,B07,1
2,QDA_PROJECT,"Data from: Not in the countryside please! Investigating UK residents' perceptions of an introduced species, the ring-necked parakeet",K62,K63,5
2,OTHER_PROJECT,Data for: Dissecting the genetic architecture of leaf morphology traits in mungbean (Vigna radiata (L.) Wizcek) using genome‐wide association study,A01,B07,2
2,QD_PROJECT,Data from: Inner conflict in patients receiving oral anti-cancer agents: a qualitative study,R86,,1
2,QD_PROJECT,Data from: Identifying acne treatment uncertainties via a James Lind Alliance Priority Setting Partnership,R86,B07,2
2,QD_PROJECT,Data from: How do doctors and nurses manage delirium in intensive care units? A qualitative study using focus groups.,R86,,1
2,QD_PROJECT,Barriers to home exercise for patients with Parkinson’s disease – a qualitative study,R86,,2
2,QD_PROJECT,Data from: The personal and social experiences of community-dwelling younger adults after stroke in Australia: a qualitative interview study,N72,R86,2
2,QD_PROJECT,Data from: Primary care management of headaches and how direct-access MRI fits: a qualitative study of UK general practitioners’ views,C29,E36,1
2,QD_PROJECT,"Data from: Development of a simple, practice-based tool to assess quality of paediatric emergency care delivery in resource-limited settings: identifying critical actions via a Delphi study",R86,B07,5
2,QD_PROJECT,Data from: Understanding families' experiences following a diagnosis of non-syndromic Craniosynostosis: A qualitative study,R86,C29,1
2,QD_PROJECT,"Data from: Characterizing the interaction between physicians, pharmacists and pharmaceutical representatives in a middle-income country: a qualitative study",C21,,1
2,QD_PROJECT,Data from: From strategy to action:  A qualitative study on salient factors influencing knowledge transfer in project-based experiential learning in healthcare organizations in Kenya,Q85,B07,1
2,QD_PROJECT,Strategies and interventions to strengthen pharmacovigilance systems in low- and middle-income countries: A scoping review,N72,B06,9
2,QD_PROJECT,Voices from the field  cultural capital transformation issues for dance practitioners,B07,C29,2
2,QD_PROJECT,Qualitative survey instruments for a study on equity from a large-scale private-sector healthcare intervention in Ghana and Kenya: the African Health Markets for Equity (AHME) study,R86,C29,18
2,QD_PROJECT,Qualitative raw data and behavioral analysis for understanding VMMC policy decision-making,R86,B07,3
2,QD_PROJECT,"Preterm Birth Initiative-Rwanda group antenatal care providers focus group discussions, qualitative data",R86,C29,1
2,QD_PROJECT,Development and application of a hybrid implementation research framework to understand success in reducing under-5 mortality in Rwanda,B07,K62,2
2,QD_PROJECT,Data from: Qualitative study of physicians' varied uses of biomedical research in the USA,R86,N72,2
2,QD_PROJECT,Data from: Reduction of leaf area and symptom severity as proxies of disease-induced plant mortality:  the example of the Cauliflower mosaic virus infecting two Brassicaceae hosts,K62,K63,4
2,QD_PROJECT,"Extended data for behavioural change for Parkinson’s disease: A randomised controlled feasibility study to promote physical activity and exercise adherence among people with Parkinson’s, study protocol",C29,R86,2
2,QD_PROJECT,Data from: Mandated reporters’ experiences with reporting child maltreatment: a meta-synthesis of qualitative studies,R86,B07,1
2,QD_PROJECT,"Prevalence and individual level enablers and barriers for COVID-19 vaccine uptake among adult tuberculosis patients attending selected clinics in Nairobi County, Kenya",R86,,2
2,QD_PROJECT,"The awareness, visibility and support for young carers across Europe: a Delphi study",B07,C18,8
2,QD_PROJECT,"Data from: Determinants of appropriate health-seeking behavior for febrile illness among caregivers of children under 5 years in Busia county, Kenya",K62,R86,4
2,QD_PROJECT,Methodological approach to generate reflection and reflective notes ,Q85,,1
2,QD_PROJECT,Enabling effective urban green space stewardship through planning: A qualitative comparative analysis in Southwest England,N72,B07,2
2,QD_PROJECT,Sub-Lithospheric Small-Scale Convection Tomographically Imaged Beneath the Pacific Plate,C29,C30,20
2,QD_PROJECT,Drug and Therapeutics Committee (DTC) evolvement and expanded scope in Ethiopia,C21,O82,7
2,QD_PROJECT,"Financial, supplies, and human resource preparedness in management of COVID-19 pandemic among dental facilities in Nairobi County, Kenya",B07,C29,2
2,QD_PROJECT,Designing industry 4.0 implementation from the initial background and context of companies,B07,C29,8
2,QD_PROJECT,Data from: Low levels of hypertension screening in HIV care clinics in rural Uganda: a mixed methods study,R86,,3
2,QD_PROJECT,Data from: Potentials of closed contour analysis in species differentiation and holotype designation: a case study on lower Norian (Upper Triassic) conodonts,K62,K63,14
2,QD_PROJECT,Data from: Improving the recruitment activity of clinicians in randomised controlled trials - a systematic review,R86,,2
2,QD_PROJECT,Data from: Perceptions of research bronchoscopy in Malawian adults with pulmonary tuberculosis: a cross-sectional study.,R86,K62,4
2,QD_PROJECT,Qualitative responses from students during spring 2019,Q85,,1
2,QD_PROJECT,Anonymized Researcher Interview Data - from the Raising the Profile of the NCSU Libraries Research Support Strategies & Engagement project,K62,K63,1
2,QD_PROJECT,Related data of CG lightning attachment process,K63,B07,20
2,QD_PROJECT,Data from: Multimodal mimicry of hosts in a radiation of parasitic finches,C18,K62,12
2,QD_PROJECT,Context dependence of local adaptation to abiotic and biotic environments:  a quantitative and qualitative synthesis,N72,B07,5
2,QD_PROJECT,Data from: “Gaming the System”: a qualitative study on the price of drugs for multiple sclerosis,B07,C21,1
2,QD_PROJECT,Data from: Are you more than the sum of your parents’ genes? phenotypic plasticity in a clonal vertebrate and F1 hybrids of its parental species,B07,C22,1
2,QD_PROJECT,Model weights for Lymphoid Aggregates Segmentation (in Pytorch 1.0.1),K62,B07,1
2,QD_PROJECT,Invasive plant species that experience lower herbivory pressure may evolve lower diversities of chemical defence compounds in the exotic range,B07,C20,2
2,QD_PROJECT,Data from: Pollinator assemblage composition predicts trait divergence in a pollination-generalized plant,C29,K62,2
