rank,isic_code,class_name,count
1,N72,Scientific research and development,231
2,Q85,Education,103
3,R86,Human health activities,62
4,B07,Mining of metal ores,46
5,S91,"Library, archives, museum and other cultural activities",36
6,K62,"Computer programming, consultancy and related activities",31
7,A01,"Crop and animal production, hunting and related service activities",24
8,A02,Forestry and logging,17
9,B06,Extraction of crude petroleum and natural gas,10
10,C29,Manufacture of motor vehicles,10
11,R88,Social work activities without accommodation,9
12,A03,Fishing and aquaculture,8
13,C10,Manufacture of food products,8
14,J58,Publishing activities,6
15,C24,Manufacture of basic metals,5
16,E36,"Water collection, treatment and supply",5
17,C21,Manufacture of basic pharmaceutical products,4
18,C17,Manufacture of paper and paper products,3
19,O79,Travel agency and tour operator activities,3
20,C14,Manufacture of wearing apparel,2
