id,project_id,file_name,file_type,status
1,1,Interview_Questions.pdf,pdf,SUCCEEDED
2,1,README.md,md,SUCCEEDED
3,1,Thematic_Summary_Table-_Running_with_Rheumatoid_Arthritis-_A_Qualitative_Study_of_Australian_Rheumatologists’_Perceptions_and_Recommendations.pdf,pdf,SUCCEEDED
4,2,Dr_Akinyemi_PhD_Updated_19_6_27042020.nvp,nvp,SUCCEEDED
5,2,Supplementary_file_1.pdf,pdf,SUCCEEDED
6,2,Supplementary_file_2.pdf,pdf,SUCCEEDED
7,3,HIP data NMJ et al Dryad .xlsx,xlsx,SUCCEEDED
8,4,110122_1C-1-A_Supplementary_Materials_Section_S8.xlsx,xlsx,SUCCEEDED
9,4,FINAL_250523_Data.xlsx,xlsx,SUCCEEDED
10,4,Final_Universal_Script_6th_May_2024.R,r,SUCCEEDED
11,4,README.md,md,SUCCEEDED
12,4,Survey1_(NVivo_R1).nvpx,nvpx,FAILED_TOO_LARGE
13,5,annotated_leaves.zip,zip,FAILED_TOO_LARGE
14,5,README.md,md,SUCCEEDED
15,6,Supplementary file-data.docx,docx,SUCCEEDED
16,7,Acne PSP harvesting survey patient version no identifiers 230315.xlsx,xlsx,SUCCEEDED
17,7,Acne PSP harvesting survey professional version no identifiers 220315.xlsx,xlsx,SUCCEEDED
18,8,Delirium management ICU Sociodemographic and ICU data Dryad.xlsx,xlsx,SUCCEEDED
19,9,Interview_data_on_barriers_to_home_exercise_for_patients_with_Parkinson’_s_disease.csv,csv,SUCCEEDED
20,9,README.md,md,SUCCEEDED
21,10,Additional thematised quotations.pdf,pdf,SUCCEEDED
22,10,Interview topic guide.pdf,pdf,SUCCEEDED
23,11,GP Interviews 14.10.17.rar,rar,SUCCEEDED
24,12,Development of PBT.xlsx,xlsx,SUCCEEDED
25,12,Round 1 Freetext responses.xlsx,xlsx,SUCCEEDED
26,12,Round 2 Combined Responses.xlsx,xlsx,SUCCEEDED
27,12,Round 3 Scoring Sheet_Combined Electronic and Paper.xlsx,xlsx,SUCCEEDED
28,12,Superconsensus (Round 3).xlsx,xlsx,SUCCEEDED
