id,project_id,keyword
1,1,rheuamtoid
2,1,Running
3,1,Arthritis
4,3,Pregnancy
5,3,Treatment efficacy
6,3,Vomiting
7,3,Nausea
8,3,Ambulatory
9,4,Surveys
10,4,Parakeet
11,4,non-native
12,4,Invasive species
13,4,Social sciences
14,5,leaf
15,5,Leaves
16,5,mung bean
17,5,mungbean
18,5,leaf imaging
19,5,leaf area
20,5,leaf gwas
21,6,Oral medicine
22,6,qualitative research
23,6,Chemotherapy
24,7,treatment uncertainty
25,7,Acne
26,7,qualitative research
27,7,priority setting
28,8,Delirium
29,8,qualitative research
30,8,Intensive care units
31,8,Focus groups
32,9,Parkinson’s disease
33,9,Patients
34,9,Home exercise
35,9,barriers
36,9,qualitative research
37,10,Illness experience
38,10,qualitative research
39,10,Stroke
40,10,Middle aged
41,10,Psychosocial aspects
42,11,Headache
43,11,Neurology
44,11,Magnetic resonance imaging
45,11,qualitative research
46,11,General Practice
47,12,qualitative research
48,12,Paediatric A&E and ambulatory care
49,12,Accident & emergency medicine
50,13,delayed diagnosis
51,13,: Craniosynostoses
52,13,outcome assessment (health care)
53,13,qualitative research
54,13,parents
55,14,pharmaceutical industry
56,14,pharmaceutical marketing
57,14,qualitative research
58,14,promotion of medicines
59,14,prescribing behaviors
60,15,Health economics
61,15,Health policy
62,15,qualitative research
63,15,Human resource management
64,15,Organisational development
65,16,Adverse events
66,16,Public health
67,16,qualitative research
68,16,Drug safety
69,16,Adverse reactions
70,17,qualitative research
71,17,semi-structured interview
72,17,topic analysis
73,18,Qualitative
74,18,Kenya
75,18,Client interviews
76,19,VMMC Decision making
77,19,Qualitative studies
78,19,HIV prevention
79,19,Global health
80,22,open access
81,22,Physicians
82,22,information use
83,22,World Wide Web technology
84,22,Medical education & training
85,22,Information storage and retrieval
86,22,informatics
87,22,Information management
88,22,Information technology
89,22,evidence-based medicine
90,22,Health informatics
91,23,Arabidopsis thaliana
92,23,mortality proxies
93,23,Brassica rapa
94,23,Virulence
95,23,Cauliflower mosaic virus
96,24,Parkinson’s disease
97,24,behavioural change intervention
98,24,exercise self-efficacy
99,24,exercise adherence
100,24,Physiotherapy
101,24,Theoretical Domains Framework
102,25,Medical law
103,25,Child protection
104,25,Child & adolescent psychiatry
105,26,COVID-19
106,26,vaccine uptake
107,26,Tuberculosis
108,26,enablers
109,26,barriers
110,26,prevalence
111,27,Young Carers
112,27,Delphi study
113,27,interviews
114,27,Delphi
115,27,interview data
116,28,Febrile Illness
117,28,Health-system factors
118,28,Under-five children
119,28,Caregivers
120,28,prevalence
121,29,Dental education
122,30,Nature Based Solutions
123,30,Qualitative Comparative Analysis
124,30,Urban environments
125,30,Ecology and environmental sciences
126,30,Environmental management
127,31,Oceanic lithosphere
128,31,Asthenosphere
129,31,Mantle convection
130,31,Body wave tomography
131,31,Ocean Bottom Seismometer
132,32,"DTC, Establishment, Functionality"
133,33,Dental
134,33,Preparedness
135,33,Emergency
136,33,Response
137,33,Kenya
138,33,COVID-19
139,33,dental facility preparedness
140,34,Industrial engineering
141,35,Hypertension
142,35,HIV
143,35,Blood pressure
144,35,Integration
145,35,care cascade
146,35,multi-disease
147,36,conodont
148,36,Upper Triassic
149,36,landmark analysis
150,36,Fourier analysis
151,36,Principal component analysis
152,36,consensus shape
153,37,randomised controlled trial
154,37,qualitative metasummary
155,37,clinicians
156,37,systematic review
157,38,Tuberculosis
158,38,consent
159,38,ethics
160,38,bronchoscopy
161,41,Numerical Simulation
162,41,Lightning Attachment Process
163,41,Initiation of Multiple Upward Leaders
164,41,Leader Behaviors
165,42,mimicry
166,42,parasite-host interactions
167,42,imprinting
168,43,Coevolution
169,43,evolutionary
170,43,Methods
171,45,Gynogens
172,45,Hybrid speciation
173,45,Poecilia latipinna
174,45,Poecilia mexicana
175,45,reaction norms
176,45,Poecilia formosa
177,47,Black mustard
178,47,Common garden
179,47,Generalist and specialist herbivores
180,47,Rapid post-introduction evolution
181,47,Qualitative defence compounds.
182,48,adaptation
183,48,Evolution
184,48,geographic selection mosaic
185,48,qualitative and quantitative pollinator shifts
186,48,phenotypic selection
187,48,Pollination
188,48,Viscaria vulgaris
189,49,Clinical research
190,49,Clinical trials
191,49,Retention
192,49,meta-synthesis
193,49,systematic review
194,49,underrepresented groups
195,49,recruitment
196,50,Qualitative studies
197,50,Software engineering
198,50,accessibility
199,51,Survey research
200,51,Coral reefs
201,51,international collaboration
202,51,marine science equity
203,51,collaborative research
204,52,Science planning
205,52,Research organization
206,52,Open data
207,52,Open science
208,52,Science and research administration
209,52,Data processing
210,53,Software design
211,53,Software engineering
212,53,Qualitative analysis
213,54,citations
214,54,research assessment exercise
215,54,impact factor
216,54,research excellence framework
217,54,quality of science
218,54,merit of science
219,55,All Cerebrovascular disease/Stroke
220,55,Stroke prevention
221,55,All Imaging
222,55,carotid artery stenosis
223,55,vulnerable plaque
224,56,Qualitative analysis
225,56,thematic analysis
226,56,PBL
227,56,Medical education
228,57,Passerines
229,57,Ornithology
230,57,spring 2015
231,57,infrared
232,57,wind profiling
233,57,calibration
234,57,2010-2012
235,59,diversity
236,59,Species diversity
237,59,Crude oil
238,59,Black cumin
239,59,cluster
240,59,GCV
241,59,heritability
242,59,PCA
243,59,PCV
244,60,research program
245,60,high school
246,60,Disparities
247,61,Animal models
248,61,clinical research literature
249,61,Stroke
250,62,Primates
251,62,Baboons
252,62,Papio
253,62,Dentition
254,62,dental wear
255,62,discrete data
256,62,qualitative data
257,62,scoring system
258,63,Ethics (see Medical Ethics)
259,63,Primary care
260,63,Paediatric infectious disease & immunisation
261,63,Organisation of health services
262,64,Mayring
263,64,Qualitative Content Analysis
264,64,gender-based discrimination
265,64,female students
266,64,female physicians
267,65,urbanisation
268,65,agricultural pest control
269,65,Land-use change
270,65,anthropogenic stressors
271,65,land classification
272,65,pollinator
273,66,Delphi Panel
274,66,Translational Science Benefits Model
275,66,coding criteria
276,66,Content Validation
