id,project_id,name,role
1,1,"Shearman, Samantha Grace",AUTHOR
2,1,"Hodges, Alison",AUTHOR
3,1,"Butler, Jane",AUTHOR
4,2,"Akinyemi, Oluwaseun",AUTHOR
5,3,"Mitchell-Jones, Nicola",AUTHOR
6,3,"Farren, Jessica A.",AUTHOR
7,3,"Tobias, Aurelio",AUTHOR
8,3,"Bourne, Tom",AUTHOR
9,3,"Bottomley, Cecilia",AUTHOR
10,4,"Pirzio Biroli, Alessandro",AUTHOR
11,5,"Chiranjeevi, Shivani",AUTHOR
12,5,"Jubery, Talukder Zaki",AUTHOR
13,5,"Rairdin, Ashlyn",AUTHOR
14,5,"Dutta, Somak",AUTHOR
15,5,"Ganapathysubramanian, Baskar",AUTHOR
16,5,"Singh, Arti",AUTHOR
17,5,"Chiteri, Kevin",AUTHOR
18,6,"Yagasaki, Kaori",AUTHOR
19,6,"Komatsu, Hiroko",AUTHOR
20,6,"Takahashi, Tsunehiro",AUTHOR
21,7,"Layton, Alison M.",AUTHOR
22,7,"Eady, Elizabeth Anne",AUTHOR
23,7,"Peat, Maggie",AUTHOR
24,7,"Whitehouse, Heather",AUTHOR
25,7,"Levell, Nick J.",AUTHOR
26,7,"Ridd, Matthew J.",AUTHOR
27,7,"Cowdell, Fiona",AUTHOR
28,7,"Patel, Mahendra G.",AUTHOR
29,7,"Andrews, Stephen",AUTHOR
30,7,"Oxnard, Christine",AUTHOR
31,7,"Fenton, Mark",AUTHOR
32,7,"Firkins, Lester",AUTHOR
33,8,"Palacios-Ceña, Domingo",AUTHOR
34,8,"Cachón-Pérez, José Miguel",AUTHOR
35,8,"Martínez-Piedrola, Rosa",AUTHOR
36,8,"Gueita-Rodriguez, Javier",AUTHOR
37,8,"Perez-de-Heredia, Marta",AUTHOR
38,8,"Fernández-de-las-Peñas, Cesar",AUTHOR
39,9,"Wang, Qiaohong",AUTHOR
40,9,"Chen, Yiping",AUTHOR
41,9,"Li, Linbo",AUTHOR
42,9,"Li, Chao",AUTHOR
43,9,"Li, Li",AUTHOR
44,9,"Cao, Huili",AUTHOR
45,9,"Yang, Hui",AUTHOR
46,10,"Shipley, Jessica",AUTHOR
47,10,"Luker, Julie",AUTHOR
48,10,"Thijs, Vincent",AUTHOR
49,10,"Bernhardt, Julie",AUTHOR
50,11,"Underwood, Raphael",AUTHOR
51,11,"Kilner, Rachael",AUTHOR
52,11,"Ridsdale, Leone",AUTHOR
53,12,"Daftary, Rajesh K.",AUTHOR
54,12,"Murray, Brittany L.",AUTHOR
55,12,"Reynolds, Teri A.",AUTHOR
56,13,"Kuta, Victoria",AUTHOR
57,13,"Curry, Lauren",AUTHOR
58,13,"McNeely, P. Daniel",AUTHOR
59,13,"Walling, Simon",AUTHOR
60,13,"Chorney, Jill M.",AUTHOR
61,13,"Bezuhly, Michael",AUTHOR
62,14,"Hajjar, Rima",AUTHOR
63,14,"Bassatne, Aya",AUTHOR
64,14,"Cheaito, Mohamad Ali",AUTHOR
65,14,"Naser El Dine, Rabie",AUTHOR
66,14,"Traboulsy, Sarah",AUTHOR
67,14,"Haddadin, Fadi",AUTHOR
68,14,"Honein-AbouHaidar, Gladys",AUTHOR
69,14,"Akl, Elie A.",AUTHOR
70,15,"Chelagat, Tecla",AUTHOR
71,15,"Onyango, Joseph",AUTHOR
72,15,"Kokwaro, Gilbert",AUTHOR
73,15,"Rice, Jim",AUTHOR
74,16,"Menang, Olga",AUTHOR
75,16,"de Soyres-Kuemmerle, Andrea",AUTHOR
76,16,"Maigetter, Karen",AUTHOR
77,16,"Burri, Christian",AUTHOR
78,17,"Han, Jiabei",AUTHOR
79,18,"Montagu, Dominic",AUTHOR
80,18,"Suchman, Lauren",AUTHOR
81,19,"Gantayat, Nishan",AUTHOR
82,20,"Lundeen, Tiffany",AUTHOR
83,20,"Butrick, Elizabeth",AUTHOR
84,20,"Walker, Dilys",AUTHOR
85,20,"Azman, Hana",AUTHOR
86,20,"Musange, Sabine",AUTHOR
87,20,"Nzeyimana, David",AUTHOR
88,20,"Murindahabi, Nathalie",AUTHOR
89,21,"Hirschhorn, Lisa",AUTHOR
90,21,"Frisch, Miriam",AUTHOR
91,21,"Ntawukuriryayo, Jovial Thomas",AUTHOR
92,21,"VanderZanden, Amelia",AUTHOR
93,21,"Donahoe, Kateri",AUTHOR
94,21,"Mathewos, Kedest",AUTHOR
95,21,"Sayinzoga, Felix",AUTHOR
96,21,"Binagwaho, Agnes",AUTHOR
97,22,"Maggio, Lauren A.",AUTHOR
98,22,"Moorhead, Laura L.",AUTHOR
99,22,"Willinsky, John M.",AUTHOR
100,23,"Doumayrou, Juliette",AUTHOR
101,23,"Leblaye, Sophie",AUTHOR
102,23,"Froissart, Rémy",AUTHOR
103,23,"Michalakis, Yannis",AUTHOR
104,24,"Ahern, Leanne",AUTHOR
105,25,"McTavish, Jill R.",AUTHOR
106,25,"Kimber, Melissa",AUTHOR
107,25,"Devries, Karen",AUTHOR
108,25,"Colombini, Manuela",AUTHOR
109,25,"MacGregor, Jennifer C.D.",AUTHOR
110,25,"Wathen, C. Nadine",AUTHOR
111,25,"Agarwal, Arnav",AUTHOR
112,25,"MacMillan, Harriet L.",AUTHOR
113,26,"Boru, Waqo",AUTHOR
114,26,"Makalliwa, George",AUTHOR
115,26,"Musita, Caroline",AUTHOR
116,27,"Nap, Henk Herman",AUTHOR
117,27,"Hoefman, Renske",AUTHOR
118,27,"de Jong, Nynke",AUTHOR
119,27,"Lovink, Lieke",AUTHOR
120,27,"Glimmerveen, Ludo",AUTHOR
121,27,"Lewis, Feylyn",AUTHOR
122,27,"Santini, Sara",AUTHOR
123,27,"D’Amen, Barbara",AUTHOR
124,27,"Socci, Marco",AUTHOR
125,27,"Boccaletti, Licia",AUTHOR
126,27,"Casu, Giulia",AUTHOR
127,27,"Manattini, Alessandra",AUTHOR
128,27,"Brolin, Rosita",AUTHOR
129,27,"Sirk, Karina",AUTHOR
130,27,"Hlebec, Valentina",AUTHOR
131,27,"Rakar, Tatjana",AUTHOR
132,27,"Hudobivnik, Tjasa",AUTHOR
133,27,"Leu, Agnes",AUTHOR
134,27,"Berger, Fabian",AUTHOR
135,27,"Magnusson, Lennart",AUTHOR
136,27,"Hanson, Elizabeth",AUTHOR
137,28,"Kananura, Jean Louis",AUTHOR
138,28,"S.Phiri, Kamija",AUTHOR
139,28,"C.rono, Betsy",AUTHOR
140,29,"Brondani, Mario",AUTHOR
141,30,"Kahane, Fay",AUTHOR
142,30,"Ralph, Melissa",AUTHOR
143,30,"Shaw, Rosalind",AUTHOR
144,31,"Eilon, Zachary",AUTHOR
145,32,"Feleke, Zinabie",AUTHOR
146,32,"Seyoum, Habtamu",AUTHOR
147,32,"Abebe, Yigeremu",AUTHOR
148,32,"Bikila, Dinkineh",AUTHOR
149,32,"Yaregal, Alebel",AUTHOR
150,32,"Ali, Seid",AUTHOR
151,32,"Demisie, Amsalu",AUTHOR
152,32,"Fisseha, Salem",AUTHOR
153,32,"Battu, Audrey",AUTHOR
154,32,"Lam, Felix",AUTHOR
155,32,"Bayisa, Regasa",AUTHOR
156,33,"Chematia, Hazel",AUTHOR
157,33,"Karanja, Simon",AUTHOR
158,33,"Kiilu, Elizabeth",AUTHOR
159,34,"Rocchi, Valérie",AUTHOR
160,34,"Brissaud, Daniel",AUTHOR
161,35,"Atukunda, Mucunguzi",AUTHOR
162,35,"Charlebois, Edwin",AUTHOR
163,35,"Byamukama, Ambrose",AUTHOR
164,35,"Twinamatsiko, Brian",AUTHOR
165,35,"Ayebare, Michael",AUTHOR
166,35,"Mutabazi, Andrew",AUTHOR
167,35,"Akatukwasa, Cecilia",AUTHOR
168,35,"Tindimwebwa, Winston",AUTHOR
169,35,"Asiimwe, Alan",AUTHOR
170,35,"Arinitwe, Elizabeth",AUTHOR
171,35,"Nangendo, Joan",AUTHOR
172,35,"Tumusiime, Justus",AUTHOR
173,35,"Okello, Emmy",AUTHOR
174,35,"Mutungi, Gerald",AUTHOR
175,35,"Grosskurth, Heiner",AUTHOR
176,35,"Kamya, Moses",AUTHOR
177,35,"Balzer, Laura",AUTHOR
178,35,"Lavoy, Geoffrey",AUTHOR
179,35,"Kabami, Jane",AUTHOR
180,36,"Virág, Attila",AUTHOR
181,36,"Karádi, Viktor",AUTHOR
182,37,"Fletcher, Benjamin",AUTHOR
183,37,"Gheorghe, Adrian",AUTHOR
184,37,"Moore, David",AUTHOR
185,37,"Wilson, Sue",AUTHOR
186,37,"Damery, Sarah",AUTHOR
187,38,"McCallum, Andrew D.",AUTHOR
188,38,"Nyirenda, Deborah",AUTHOR
189,38,"Lora, Wezzie",AUTHOR
190,38,"Khoo, Saye H.",AUTHOR
191,38,"Sloan, Derek J.",AUTHOR
192,38,"Mwandumba, Henry C.",AUTHOR
193,38,"Desmond, Nicola",AUTHOR
194,38,"Davies, Geraint R.",AUTHOR
195,39,"Humphrey, Eve",AUTHOR
196,40,"Davis, Hilary",AUTHOR
197,40,"Nickels, Colin",AUTHOR
198,41,"Yuhe, Lin",AUTHOR
199,41,"Yongbo, Tan",AUTHOR
200,41,"Junhao, Yu",AUTHOR
201,41,"Qi, Qi",AUTHOR
202,41,"Bin, Wu",AUTHOR
203,41,"Weitao, Lyu",AUTHOR
204,42,"Jamie, Gabriel",AUTHOR
205,42,"van Belleghem, Steven M.",AUTHOR
206,42,"Hogan, Benedict G.",AUTHOR
207,42,"Hamama, Silky",AUTHOR
208,42,"Moya, Collins",AUTHOR
209,42,"Troscianko, Jolyon",AUTHOR
210,42,"Stoddard, Mary",AUTHOR
211,42,"Kilner, Rebecca",AUTHOR
212,42,"Spottiswoode, Claire",AUTHOR
213,43,"Briscoe Runquist, Ryan",AUTHOR
214,43,"Gorton, Amanda",AUTHOR
215,43,"Yoder, Jeremy",AUTHOR
216,43,"Deacon, Nicholas",AUTHOR
217,43,"Grossman, Jake",AUTHOR
218,43,"Kothari, Shan",AUTHOR
219,43,"Lyons, Marta",AUTHOR
220,43,"Sheth, Seema",AUTHOR
221,43,"Tiffin, Peter",AUTHOR
222,43,"Moeller, David",AUTHOR
223,44,"Hartung, Daniel M.",AUTHOR
224,44,"Alley, Lindsey",AUTHOR
225,44,"Johnston, Kirbee A.",AUTHOR
226,44,"Bourdette, Dennis",AUTHOR
227,45,"Makowicz, Amber M.",AUTHOR
228,45,"Travis, Joseph",AUTHOR
229,46,"Lituiev, Dmytro",AUTHOR
230,47,"Oduor, A. M. O.",AUTHOR
231,48,"Torres-Vanegas, Felipe",AUTHOR
232,48,"Temesvári, Vanda",AUTHOR
233,48,"García, Yedra",AUTHOR
234,48,"Friberg, Magne",AUTHOR
235,48,"Opedal, Øystein",AUTHOR
236,49,"Peters, Carson",AUTHOR
237,49,"Greve, Joan",AUTHOR
238,49,"Karbasi, Arvin",AUTHOR
239,49,"Walker, Michelle",AUTHOR
240,49,"Adesanya, Luyi",AUTHOR
241,49,"Gamble-George, Joyonna",AUTHOR
242,49,"Redmond, Nicole",AUTHOR
243,49,"Adjei, Brenda",AUTHOR
244,49,"Olufemi, Olufunmilola",AUTHOR
245,50,"Cha, Yoonha",AUTHOR
246,50,"Jackson, Victoria",AUTHOR
247,50,"Shu, Lauren",AUTHOR
248,50,"van der Hoek, Andre",AUTHOR
249,50,"Branham, Stacy",AUTHOR
250,51,"Roch, Cassandra",AUTHOR
251,51,"Klein, Shannon G.",AUTHOR
252,51,"Angulo-Preckler, Carlos",AUTHOR
253,51,"Hutahaean, Andreas A.",AUTHOR
254,51,"Wambugu, Joshua",AUTHOR
255,51,"Yranzo-Duque, Anaurora",AUTHOR
256,51,"Alamoudi, Taiba",AUTHOR
257,51,"Naseem, Aya",AUTHOR
258,51,"Gonzalez-Diaz, Patricia",AUTHOR
259,51,"Jiddawi, Narriman",AUTHOR
260,51,"Pluma, Naira",AUTHOR
261,51,"Algethami, Bashaer",AUTHOR
262,51,"Duarte, Carlos M.",AUTHOR
263,52,"Hernández Gutierrez, Kevin Amilcar",AUTHOR
264,52,"Hernández, César",AUTHOR
265,52,"Díaz, Doria América",AUTHOR
266,53,"Jackson, Victoria",AUTHOR
267,53,"Liu, Susannah",AUTHOR
268,53,"van der Hoek, Andre",AUTHOR
269,54,"Eyre-Walker, Adam",AUTHOR
270,54,"Stoletzki, Nina",AUTHOR
271,55,"Fabiani, Iacopo",AUTHOR
272,55,"Palombo, Carlo",AUTHOR
273,55,"Caramella, Davide",AUTHOR
274,55,"Nilsson, Jan",AUTHOR
275,55,"De Caterina, Raffaele",AUTHOR
276,56,"Alothman, Shaima",AUTHOR
277,57,"Weisshaupt, Nadja",AUTHOR
278,57,"Lehmann, Volker",AUTHOR
279,57,"Arizaga, Juan",AUTHOR
280,57,"Maruri, Mercedes",AUTHOR
281,58,"Milton, Shakira",AUTHOR
282,58,"McIntosh, Jennifer",AUTHOR
283,58,"Yogaparan, Thivagar",AUTHOR
284,58,"Alphonse, Pavithran",AUTHOR
285,58,"Saya, Sibel",AUTHOR
286,58,"Karnchanachari, Napin",AUTHOR
287,58,"Nguyen, Peter",AUTHOR
288,58,"Lau, Phyllis",AUTHOR
289,58,"Macrae, Finlay",AUTHOR
290,58,"Emery, Jon",AUTHOR
291,59,"Kassaye, Solomon",AUTHOR
